================ Training Loss (Wed Nov 26 13:10:48 2025) ================
[Rank 0] (epoch: 1, iters: 10300, time: 0.010, data: 0.023) , G_GAN: 1.195, G_L1: 7.387, D_real: 0.501, D_fake: 0.544

[Rank 0] (epoch: 1, iters: 10400, time: 0.010, data: 0.023) , G_GAN: 1.110, G_L1: 7.711, D_real: 0.536, D_fake: 0.595

[Rank 0] (epoch: 1, iters: 10500, time: 0.010, data: 0.024) , G_GAN: 0.972, G_L1: 7.325, D_real: 0.606, D_fake: 0.351

[Rank 0] (epoch: 1, iters: 10600, time: 0.010, data: 0.023) , G_GAN: 1.152, G_L1: 6.538, D_real: 0.483, D_fake: 0.533

[Rank 0] (epoch: 1, iters: 10700, time: 0.010, data: 0.021) , G_GAN: 1.374, G_L1: 7.130, D_real: 0.436, D_fake: 0.578

[Rank 0] (epoch: 1, iters: 10800, time: 0.010, data: 0.024) , G_GAN: 0.611, G_L1: 7.325, D_real: 0.673, D_fake: 0.409

[Rank 0] (epoch: 1, iters: 10900, time: 0.010, data: 0.024) , G_GAN: 1.663, G_L1: 7.532, D_real: 0.370, D_fake: 0.816

[Rank 0] (epoch: 1, iters: 11000, time: 0.010, data: 0.021) , G_GAN: 0.950, G_L1: 7.640, D_real: 1.129, D_fake: 0.484

[Rank 0] (epoch: 1, iters: 11100, time: 0.010, data: 0.024) , G_GAN: 1.168, G_L1: 6.485, D_real: 0.877, D_fake: 0.487

[Rank 0] (epoch: 1, iters: 11200, time: 0.010, data: 0.021) , G_GAN: 1.205, G_L1: 6.747, D_real: 0.553, D_fake: 1.148

[Rank 0] (epoch: 1, iters: 11300, time: 0.010, data: 0.024) , G_GAN: 1.453, G_L1: 7.530, D_real: 0.472, D_fake: 0.705

[Rank 0] (epoch: 1, iters: 11400, time: 0.010, data: 0.021) , G_GAN: 1.093, G_L1: 7.262, D_real: 0.658, D_fake: 0.448

[Rank 0] (epoch: 1, iters: 11500, time: 0.010, data: 0.023) , G_GAN: 0.968, G_L1: 7.001, D_real: 0.579, D_fake: 0.554

[Rank 0] (epoch: 1, iters: 11600, time: 0.010, data: 0.024) , G_GAN: 1.552, G_L1: 7.065, D_real: 0.374, D_fake: 0.550

[Rank 0] (epoch: 1, iters: 11700, time: 0.010, data: 0.024) , G_GAN: 1.248, G_L1: 6.912, D_real: 0.587, D_fake: 0.377

[Rank 0] (epoch: 1, iters: 11800, time: 0.010, data: 0.023) , G_GAN: 1.007, G_L1: 7.148, D_real: 0.481, D_fake: 0.480

[Rank 0] (epoch: 1, iters: 11900, time: 0.010, data: 0.023) , G_GAN: 1.297, G_L1: 6.900, D_real: 0.416, D_fake: 0.501

[Rank 0] (epoch: 1, iters: 12000, time: 0.010, data: 0.024) , G_GAN: 0.923, G_L1: 7.279, D_real: 0.592, D_fake: 0.412

[Rank 0] (epoch: 1, iters: 12100, time: 0.011, data: 0.024) , G_GAN: 1.228, G_L1: 6.208, D_real: 0.453, D_fake: 0.534

[Rank 0] (epoch: 2, iters: 100, time: 0.010, data: 0.912) , G_GAN: 1.317, G_L1: 8.028, D_real: 0.465, D_fake: 0.721

[Rank 0] (epoch: 2, iters: 200, time: 0.010, data: 0.024) , G_GAN: 0.796, G_L1: 7.167, D_real: 0.721, D_fake: 0.249

[Rank 0] (epoch: 2, iters: 300, time: 0.011, data: 0.021) , G_GAN: 1.841, G_L1: 6.934, D_real: 0.352, D_fake: 0.685

[Rank 0] (epoch: 2, iters: 400, time: 0.010, data: 0.025) , G_GAN: 1.056, G_L1: 6.759, D_real: 0.813, D_fake: 0.228

[Rank 0] (epoch: 2, iters: 500, time: 0.010, data: 0.027) , G_GAN: 1.188, G_L1: 7.266, D_real: 0.362, D_fake: 0.569

